,method,iter,train_test,n,p,mse,r2
258,MICELR,0,train,7500.0,8,9.219540327920381,0.779129911230303
259,MICELR,0,test,7500.0,8,8.950850175745895,0.7866810390959418
260,"MLP W0.3, D1",0,train,7500.0,8,4.575852364079241,0.8903775153745455
261,"MLP W0.3, D1",0,test,7500.0,8,4.517022837263708,0.892349151297832
262,"MLP W0.5, D1",0,train,7500.0,8,4.21486727205334,0.8990255397319901
263,"MLP W0.5, D1",0,test,7500.0,8,4.191160023539956,0.9001151975901922
264,"MLP W1, D1",0,train,7500.0,8,3.6429919344302655,0.9127258059159225
265,"MLP W1, D1",0,test,7500.0,8,3.7204390354198367,0.9113335411095158
266,"MLP W2, D1",0,train,7500.0,8,3.453840862812947,0.9172572481020889
267,"MLP W2, D1",0,test,7500.0,8,3.6353129705573592,0.9133622873566065
268,"MLP W4, D1",0,train,7500.0,8,3.2571241176543952,0.9219699391279175
269,"MLP W4, D1",0,test,7500.0,8,3.5370142349417555,0.9157049680772069
270,ConstantImputedLR,0,train,18750.0,8,5.646453632661882,0.8631160787466778
271,ConstantImputedLR,0,test,18750.0,8,5.741741132972883,0.8604250799624835
272,ExpandedLR,0,train,18750.0,8,3.172307659262041,0.9230954613157737
273,ExpandedLR,0,test,18750.0,8,4.243937846586019,0.8968349021902463
274,EMLR,0,train,18750.0,8,9.322799067119186,0.7739924249121156
275,EMLR,0,test,18750.0,8,8.851066713193788,0.7848410612512055
276,MICELR,0,train,18750.0,8,8.914148092810809,0.7838991294432127
277,MICELR,0,test,18750.0,8,8.581384975705328,0.7913967045785181
278,"MLP W0.3, D1",0,train,18750.0,8,4.936762565600818,0.8803207354139773
279,"MLP W0.3, D1",0,test,18750.0,8,5.117244442001257,0.8756058541714608
280,"MLP W0.5, D1",0,train,18750.0,8,4.080564911394423,0.9010770720281178
281,"MLP W0.5, D1",0,test,18750.0,8,4.278856463328121,0.8959860720136974
282,"MLP W1, D1",0,train,18750.0,8,3.5408699688889147,0.9141606045986161
283,"MLP W1, D1",0,test,18750.0,8,3.713586465953492,0.9097271155153086
284,"MLP W2, D1",0,train,18750.0,8,3.426245579165872,0.9169393816784099
285,"MLP W2, D1",0,test,18750.0,8,3.6475213516799605,0.911333080122289
286,"MLP W4, D1",0,train,18750.0,8,3.3207695885659625,0.9194963790666251
287,"MLP W4, D1",0,test,18750.0,8,3.6173451591474843,0.9120666275885043
288,ConstantImputedLR,0,train,37500.0,8,5.615294878293159,0.8636378396133048
289,ConstantImputedLR,0,test,37500.0,8,5.736297228237917,0.8609139240121125
290,ExpandedLR,0,train,37500.0,8,3.2382047592614676,0.9213632398087717
291,ExpandedLR,0,test,37500.0,8,3.7488477615840647,0.9091029450029263
292,EMLR,0,train,37500.0,8,9.209223777705418,0.7763626528916773
293,EMLR,0,test,37500.0,8,9.276848518986919,0.7750673637188278
294,MICELR,0,train,37500.0,8,8.767923634431952,0.7870792122567697
295,MICELR,0,test,37500.0,8,8.803666813989087,0.7865404419012885
296,"MLP W0.3, D1",0,train,37500.0,8,4.410026061766747,0.8929066604375843
297,"MLP W0.3, D1",0,test,37500.0,8,4.4131597740378785,0.8929955943257369
298,"MLP W0.5, D1",0,train,37500.0,8,3.886661290231125,0.905616082197921
299,"MLP W0.5, D1",0,test,37500.0,8,3.9561485049950487,0.9040765933682042
300,"MLP W1, D1",0,train,37500.0,8,3.5715007201872937,0.913269460538925
301,"MLP W1, D1",0,test,37500.0,8,3.6263202788996893,0.9120738278022611
302,"MLP W2, D1",0,train,37500.0,8,3.485090411563667,0.9153678536988546
303,"MLP W2, D1",0,test,37500.0,8,3.588662735397606,0.9129868976361017
304,"MLP W4, D1",0,train,37500.0,8,3.396075063047691,0.9175295078050595
305,"MLP W4, D1",0,test,37500.0,8,3.5268610425782208,0.9144853825649062
306,ConstantImputedLR,0,train,75000.0,8,5.673787502933263,0.8621033013055439
307,ConstantImputedLR,0,test,75000.0,8,5.746653607721203,0.8610670014220136
